respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.928236034144885,0.7573124453849573
26708,0.7670844697441221,0.9444789495195954
26709,0.8121727515321865,0.3188897089855958
26710,0.24918185787476826,0.1479313943173749
26711,0.5106583202347083,0.5
26712,0.19844069566911246,0.05308269876286406
26713,0.6531382653417678,0.5
26714,0.8810607197059812,0.7047449104271687
26715,0.9390567487711224,0.8635259410543863
26716,0.7787951403683561,0.1336139442118736
26717,0.9738519893305093,0.5678530265191322
26718,0.7269529456239141,0.465485831955043
26719,0.8925535028867069,0.07890117823621969
26720,0.9651502508525327,0.825717305315109
26721,0.70572686373794,0.4877322266091988
26722,0.9223687468618247,0.9220460651154997
26723,0.1357431603212669,0.11415846729761449
26724,0.8409048832923611,0.3406306769095278
26725,0.9570473748069638,0.8643687232326835
26726,0.8757018234404149,0.9400124937780697
26727,0.8393250945352743,0.168956242562358
26728,0.7710462454401197,0.4146634719881941
26729,0.9202228009879525,0.7095608502161306
26730,0.9077182995836973,0.7777626444662057
26731,0.9379617469516974,0.6877324304463801
26732,0.8494260631246338,0.8571583091886621
26733,0.06343351337429477,0.040370070844282346
26734,0.320713093700817,0.6718738162297906
26735,0.9254432451376036,0.6650080533689069
26736,0.9249944544523551,0.8451561972871166
26737,0.9304679707274778,0.894980415942789
26738,0.17028605134773975,0.19209747080173986
26739,0.8740454126905342,0.7941895162720728
26740,0.8810959685309312,0.850063450231378
26741,0.860669785502836,0.0859182782085978
26742,0.8449589320848274,0.5703000885960822
26743,0.8381337591576554,0.5407833639567757
26744,0.9354458221239761,0.359798705893999
26745,0.9162944908609874,0.08153655847916043
26746,0.8308482615966613,0.6697095434388468
26747,0.9095615273403888,0.7497833710720194
26748,0.9034509755986196,0.9271411112798608
26749,0.8856596605316305,0.345171449174671
26750,0.24750927168959858,0.09312424965566855
26751,0.5151134036891566,0.25495576068347237
26752,0.8703722044949107,0.9754199440430411
26753,0.8751010488987475,0.37799377082740543
26754,0.9186911317674429,0.5
26755,0.8818622834509356,0.6605658327717648
26756,0.9048810432310772,0.9492505944225768
26757,0.6669424906591982,0.36307365610369097
26758,0.3009644408203383,0.13251060596247105
26759,0.9275112196958243,0.8636218936609654
26760,0.9083873973281997,0.9729941388697086
26761,0.6787424750462507,0.37567422566364006
26762,0.7846395906250694,0.17712156333957021
26763,0.09012958762180792,0.023947015810714095
26764,0.011702059464686698,0.027740118067076002
26765,0.9638227159106505,0.3572785543366375
26766,0.8662694460885941,0.8285458027918914
26767,0.07378026349804495,0.23539226598870724
26768,0.9384727138602632,0.5288421280854438
26769,0.9168802083509797,0.8537979726921797
26770,0.8920741289654399,0.34028545892117423
26771,0.9658909542993508,0.839662450953
26772,0.8559837651567556,0.5618467800879245
26773,0.8630290544918278,0.5407150950881818
26774,0.8642811377902678,0.4928755586366869
26775,0.9564773088802594,0.5
26776,0.4240591929432773,0.5476993467917491
26777,0.965456794148511,0.10979409552626163
26778,0.9429399538476043,0.9048155195947758
26779,0.8809727306272321,0.4772393378878152
26780,0.9245566514120348,0.05410137929635442
26781,0.9235191974954873,0.5791161202931353
26782,0.8966262173396867,0.6482175695164931
26783,0.9484902631671804,0.6843109692691823
26784,0.8780796096444347,0.12684946268168032
26785,0.34876163654404013,0.3371874214016829
26786,0.9559056321339495,0.7402367243281592
26787,0.8973278758286808,0.49251333269214076
26788,0.9561014367791479,0.10877024026122191
26789,0.9725696294488699,0.7269463349890058
26790,0.9641529145589932,0.7287253040284482
26791,0.9093823239211449,0.9516021636417984
26792,0.8905421715146784,0.2797655461263539
26793,0.8763116644894859,0.09327598388307513
26794,0.260133161148174,0.10849457771237005
26795,0.9203170700362509,0.04646522931122868
26796,0.9379896732948753,0.9464786080752138
26797,0.7731241193019748,0.2744442274780528
26798,0.8401830527325779,0.8546052398410284
26799,0.795866433633008,0.7592692497381001
26800,0.9208303300692448,0.08262799214751258
26801,0.8289481299696411,0.5742313135358543
26802,0.8711439776164769,0.8047681958872835
26803,0.9258814199030301,0.8317449422449228
26804,0.8919810056207341,0.9382138534011177
26805,0.839997855262986,0.8373014212706549
26806,0.9298817956066732,0.12590875649834524
26807,0.5440500471152268,0.06424082251421308
26808,0.9249721808800259,0.3063595292577354
26809,0.3600055728726759,0.8623308166944461
26810,0.9427797091919544,0.9281334411203053
26811,0.9692011770657377,0.9574140369780337
26812,0.6506760798609036,0.20877617730303014
26813,0.5052545266670626,0.601157925567363
26814,0.9521439374737498,0.5408918593576476
26815,0.9575205268617011,0.8762016795177856
26816,0.9403062592508198,0.843845841438684
26817,0.9206903953315766,0.25664919820319065
26818,0.8729440018036501,0.7055156373616052
26819,0.9332325949298904,0.6644843054953445
26820,0.8609562043136235,0.7402194273109021
